source_hgnc_id,source_hgnc_symbol,source_uniprot_id,relation,target_hgnc_id,target_hgnc_symbol,target_uniprot_id,stmt_hash,evidence_count,source_counts
1722,CDK1,P06493,DecreaseAmount,6950,MCM7,P33993,17640424826364650,1,"{""reach"": 1}"
1722,CDK1,P06493,DecreaseAmount,4983,HMGB1,P09429,7077496518683610,1,"{""medscan"": 1}"
11240,SPHK1,Q9NYA1,IncreaseAmount,4983,HMGB1,P09429,-25532267311544490,1,"{""reach"": 1}"
8748,PCSK7,Q16549,DecreaseAmount,4983,HMGB1,P09429,-6102327059973577,4,"{""reach"": 4}"
9352,PRDX1,Q06830,DecreaseAmount,4983,HMGB1,P09429,-30545693419423464,1,"{""reach"": 1}"
16753,PRDX6,P30041,DecreaseAmount,4983,HMGB1,P09429,-1174797253419850,1,"{""reach"": 1}"
13575,BRD4,O60885,IncreaseAmount,4983,HMGB1,P09429,-28996798228659241,1,"{""reach"": 1}"
7910,NPM1,P06748,DecreaseAmount,587,APEX1,P27695,13051100881873876,1,"{""medscan"": 1}"
3121,E4F1,Q66K89,IncreaseAmount,4983,HMGB1,P09429,2949566852657910,1,"{""reach"": 1}"
3121,E4F1,Q66K89,DecreaseAmount,4983,HMGB1,P09429,33087025945423270,1,"{""biopax"": 1}"
3121,E4F1,Q66K89,DecreaseAmount,29931,GNL3,Q9BVP2,15653114588360688,1,"{""biopax"": 1}"
620,APP,P05067,DecreaseAmount,6950,MCM7,P33993,25549627643310210,1,"{""reach"": 1}"
620,APP,P05067,IncreaseAmount,587,APEX1,P27695,29452107824706249,1,"{""reach"": 1}"
15608,NOLC1,Q14978,IncreaseAmount,29931,GNL3,Q9BVP2,35519970430898968,1,"{""reach"": 1}"
21270,GRWD1,Q9BQ67,DecreaseAmount,10316,RPL23,P62829,447851493727841,1,"{""reach"": 1}"
9847,RANBP1,P43487,DecreaseAmount,1516,CAT,P04040,18125190266203041,1,"{""reach"": 1}"
95,SLC33A1,O00400,IncreaseAmount,4983,HMGB1,P09429,14639089646549886,1,"{""reach"": 1}"
795,ATM,Q13315,IncreaseAmount,4983,HMGB1,P09429,-12877248318714075,1,"{""reach"": 1}"
1479,CAPN2,P17655,IncreaseAmount,1874,CFL1,P23528,-6623229516855717,1,"{""reach"": 1}"
1774,CDK5,Q00535,DecreaseAmount,587,APEX1,P27695,-24674788151882630,1,"{""medscan"": 1}"
5187,PRMT1,Q99873,IncreaseAmount,4931,HLA-A,P04439,-21984618508359872,1,"{""reach"": 1}"
5344,ICAM1,P05362,IncreaseAmount,4983,HMGB1,P09429,-1242113016705042,1,"{""isi"": 1}"
11973,TNS1,Q9HBL0,DecreaseAmount,4983,HMGB1,P09429,29527568474279058,2,"{""reach"": 2}"
6344,KL,Q9UEF7,IncreaseAmount,4983,HMGB1,P09429,-15847892073349855,1,"{""reach"": 1}"
914,B2M,P61769,IncreaseAmount,4931,HLA-A,P04439,1221899198556097,1,"{""reach"": 1}"
11364,STAT3,P40763,DecreaseAmount,6950,MCM7,P33993,-22306513840366876,1,"{""reach"": 1}"
11364,STAT3,P40763,IncreaseAmount,587,APEX1,P27695,-17476776263029275,1,"{""bel"": 1}"
11364,STAT3,P40763,IncreaseAmount,587,APEX1,P27695,-29273368536222577,2,"{""medscan"": 2}"
11364,STAT3,P40763,DecreaseAmount,4983,HMGB1,P09429,-2008067418527462,1,"{""reach"": 1}"
11364,STAT3,P40763,DecreaseAmount,4983,HMGB1,P09429,-3375732747546922,4,"{""reach"": 4}"
11364,STAT3,P40763,IncreaseAmount,4983,HMGB1,P09429,-13112979653092504,8,"{""medscan"": 1, ""reach"": 7}"
12825,XPO1,O14980,DecreaseAmount,9847,RANBP1,P43487,-6472908269294567,1,"{""medscan"": 1}"
12692,VIM,P08670,IncreaseAmount,10774,SFPQ,P23246,-14748414853322559,1,"{""reach"": 1}"
6950,MCM7,P33993,IncreaseAmount,7107,MKI67,P46013,2420380946418946,2,"{""reach"": 2}"
6950,MCM7,P33993,IncreaseAmount,6947,MCM4,P33991,994364158454026,1,"{""reach"": 1}"
6950,MCM7,P33993,DecreaseAmount,33499,ATRIP,Q8WXE1,16898422701995966,1,"{""reach"": 1}"
6950,MCM7,P33993,DecreaseAmount,3236,EGFR,P00533,35511845083464572,1,"{""medscan"": 1}"
6950,MCM7,P33993,IncreaseAmount,10452,RRM2,P31350,11611998785573877,1,"{""reach"": 1}"
1743,CDC5L,Q99459,DecreaseAmount,1917,CHD2,O14647,-4654092828126915,1,"{""biopax"": 1}"
1551,CBX1,P83916,IncreaseAmount,4983,HMGB1,P09429,26461798237082850,1,"{""reach"": 1}"
1551,CBX1,P83916,DecreaseAmount,4983,HMGB1,P09429,2494307148004056,2,"{""reach"": 2}"
30661,UBA2,Q9UBT2,IncreaseAmount,6950,MCM7,P33993,29859290191930877,1,"{""reach"": 1}"
8127,OGT,O15294,IncreaseAmount,6950,MCM7,P33993,-19304231127925663,1,"{""reach"": 1}"
4323,GLO1,Q04760,DecreaseAmount,4983,HMGB1,P09429,-19048266667564820,1,"{""reach"": 1}"
8014,YBX1,P67809,IncreaseAmount,587,APEX1,P27695,-3078150675355697,1,"{""medscan"": 1}"
