source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
1834	CEBPB	IncreaseAmount	9472	LGMN	-16595889362112275	1	"{""reach"": 1}"
1834	CEBPB	IncreaseAmount	9236	PPARG	-16920655368338736	2	"{""signor"": 2}"
1834	CEBPB	IncreaseAmount	9236	PPARG	31276913183183000	1	"{""reach"": 1}"
1834	CEBPB	IncreaseAmount	9236	PPARG	-5084627846641559	1	"{""reach"": 1}"
1834	CEBPB	IncreaseAmount	9236	PPARG	34913844964615639	22	"{""reach"": 22}"
1834	CEBPB	DecreaseAmount	9236	PPARG	-19743590860611917	4	"{""reach"": 3, ""biopax"": 1}"
1834	CEBPB	IncreaseAmount	9236	PPARG	-3051002867774286	73	"{""medscan"": 3, ""reach"": 69, ""isi"": 1}"
1834	CEBPB	DecreaseAmount	2514	CTNNB1	-33825175490413612	5	"{""medscan"": 1, ""reach"": 4}"
1834	CEBPB	IncreaseAmount	785	ATF3	-18331842326779403	1	"{""medscan"": 1}"
1834	CEBPB	DecreaseAmount	7787	NFIL3	-5000774592799704	1	"{""biopax"": 1}"
1834	CEBPB	IncreaseAmount	16228	TRIB3	26064772738067502	5	"{""medscan"": 1, ""reach"": 4}"
1834	CEBPB	IncreaseAmount	3594	FASN	25163612698229402	1	"{""reach"": 1}"
12679	VDR	DecreaseAmount	9236	PPARG	-367359851779331	1	"{""reach"": 1}"
12679	VDR	DecreaseAmount	9236	PPARG	32382512656078056	2	"{""reach"": 2}"
12679	VDR	DecreaseAmount	9236	PPARG	16032146411126993	3	"{""reach"": 3}"
12679	VDR	DecreaseAmount	6188	JAG1	-31649354057902975	1	"{""reach"": 1}"
12679	VDR	IncreaseAmount	2514	CTNNB1	5359651777943260	1	"{""reach"": 1}"
12679	VDR	DecreaseAmount	2514	CTNNB1	-7139339856980886	4	"{""reach"": 4}"
12679	VDR	DecreaseAmount	2514	CTNNB1	16664856455255141	1	"{""reach"": 1}"
